                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 1.1304,                0.77191,                 1.0134,                0.67383,                0.30416,                0.34242,                 0.2207,                 1.1725,                 0.7915,                0.99788,               0.002542,               0.002542,               0.002542
                    116,                 1.1291,                 0.7713,                 1.0151,                0.67621,                0.30379,                0.34268,                0.22074,                 1.1724,                0.79134,                0.99772,               0.002476,               0.002476,               0.002476
                    117,                 1.1254,                0.76895,                 1.0139,                0.67578,                0.30416,                0.34277,                0.22087,                 1.1722,                0.79122,                0.99758,                0.00241,                0.00241,                0.00241
                    118,                 1.1266,                0.76761,                 1.0124,                0.67695,                0.30329,                0.34278,                0.22099,                 1.1722,                0.79102,                0.99742,               0.002344,               0.002344,               0.002344
                    119,                 1.1268,                0.76782,                 1.0132,                0.67874,                0.30305,                0.34297,                0.22106,                 1.1721,                0.79093,                0.99725,               0.002278,               0.002278,               0.002278
                    120,                 1.1263,                0.76695,                 1.0113,                 0.6778,                0.30341,                0.34299,                0.22113,                 1.1717,                0.79047,                0.99703,               0.002212,               0.002212,               0.002212
                    121,                 1.1208,                 0.7612,                 1.0106,                0.68045,                0.30322,                0.34312,                0.22125,                 1.1716,                0.79013,                0.99688,               0.002146,               0.002146,               0.002146
                    122,                 1.1217,                0.76157,                 1.0104,                0.68042,                0.30338,                 0.3433,                0.22133,                 1.1712,                0.78977,                0.99658,                0.00208,                0.00208,                0.00208
                    123,                 1.1213,                0.76135,                 1.0108,                 0.6805,                0.30323,                0.34325,                0.22126,                  1.171,                0.78937,                0.99638,               0.002014,               0.002014,               0.002014
                    124,                 1.1204,                0.76018,                 1.0102,                0.68202,                0.30256,                0.34336,                0.22131,                 1.1708,                0.78913,                0.99623,               0.001948,               0.001948,               0.001948
                    125,                 1.1164,                0.75479,                 1.0086,                0.68232,                0.30257,                0.34349,                0.22141,                 1.1708,                0.78914,                0.99615,               0.001882,               0.001882,               0.001882
                    126,                 1.1143,                0.75189,                 1.0072,                0.68482,                0.30175,                0.34354,                0.22143,                 1.1706,                0.78905,                0.99608,               0.001816,               0.001816,               0.001816
                    127,                 1.1134,                0.75213,                 1.0075,                 0.6828,                0.30249,                 0.3437,                0.22149,                 1.1705,                0.78876,                0.99597,                0.00175,                0.00175,                0.00175
                    128,                 1.1108,                0.74848,                 1.0065,                0.68529,                0.30235,                0.34398,                0.22158,                 1.1703,                0.78856,                0.99582,               0.001684,               0.001684,               0.001684
                    129,                 1.1146,                0.75061,                 1.0069,                0.68269,                0.30296,                0.34397,                0.22174,                 1.1701,                 0.7885,                0.99565,               0.001618,               0.001618,               0.001618
                    130,                 1.1085,                0.74644,                 1.0055,                0.68108,                0.30327,                0.34434,                0.22193,                 1.1699,                0.78824,                0.99557,               0.001552,               0.001552,               0.001552
                    131,                 1.1055,                0.74349,                 1.0053,                 0.6802,                0.30332,                 0.3443,                  0.222,                 1.1698,                0.78798,                0.99548,               0.001486,               0.001486,               0.001486
                    132,                 1.1044,                0.74066,                  1.002,                0.68295,                0.30342,                 0.3446,                0.22212,                 1.1695,                0.78773,                0.99528,                0.00142,                0.00142,                0.00142
                    133,                  1.105,                0.74126,                 1.0025,                0.68328,                0.30331,                0.34484,                0.22219,                 1.1695,                0.78765,                0.99512,               0.001354,               0.001354,               0.001354
                    134,                  1.104,                0.73886,                 1.0041,                0.68362,                0.30358,                0.34506,                0.22229,                 1.1696,                0.78745,                0.99506,               0.001288,               0.001288,               0.001288
                    135,                 1.1046,                0.74071,                 1.0025,                0.68391,                0.30377,                0.34504,                0.22233,                 1.1696,                 0.7872,                0.99489,               0.001222,               0.001222,               0.001222
                    136,                  1.102,                0.73821,                 1.0018,                0.68324,                0.30423,                0.34526,                 0.2224,                 1.1695,                 0.7871,                0.99475,               0.001156,               0.001156,               0.001156
                    137,                 1.0995,                0.73346,                 1.0006,                0.68217,                0.30417,                0.34553,                0.22246,                 1.1694,                 0.7869,                0.99473,                0.00109,                0.00109,                0.00109
                    138,                 1.0969,                0.73214,                 1.0006,                0.68271,                0.30375,                0.34539,                0.22248,                 1.1693,                 0.7867,                0.99466,               0.001024,               0.001024,               0.001024
