                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.31679,                 0.1824,                0.80561,                0.94924,                0.88775,                0.96447,                 0.6778,                0.89201,                0.44296,                 1.0314,               0.003862,               0.003862,               0.003862
                    127,                0.31733,                0.18384,                0.80595,                0.94974,                 0.8932,                0.96455,                0.67672,                0.89208,                0.44345,                 1.0316,              0.0038125,              0.0038125,              0.0038125
                    128,                0.31661,                0.18253,                0.80594,                0.94969,                0.89342,                0.96491,                0.67638,                0.89215,                0.44351,                 1.0317,               0.003763,               0.003763,               0.003763
                    129,                0.31517,                 0.1813,                0.80508,                0.95014,                0.89217,                0.96487,                0.67568,                0.89223,                0.44363,                 1.0321,              0.0037135,              0.0037135,              0.0037135
                    130,                0.31464,                0.18094,                0.80533,                0.94964,                 0.8969,                0.96485,                0.67625,                0.89212,                0.44384,                 1.0317,               0.003664,               0.003664,               0.003664
                    131,                0.31397,                0.17964,                0.80512,                0.94945,                0.89675,                0.96459,                0.67565,                0.89246,                0.44442,                  1.032,              0.0036145,              0.0036145,              0.0036145
                    132,                0.31242,                0.18022,                0.80565,                0.94941,                0.89418,                0.96472,                0.67634,                0.89218,                0.44464,                  1.032,               0.003565,               0.003565,               0.003565
                    133,                 0.3123,                0.17898,                0.80422,                0.94932,                 0.8916,                0.96465,                0.67718,                0.89209,                0.44461,                  1.032,              0.0035155,              0.0035155,              0.0035155
                    134,                0.31133,                0.17879,                0.80402,                0.94888,                0.89257,                0.96518,                0.67803,                0.89193,                0.44446,                 1.0321,               0.003466,               0.003466,               0.003466
                    135,                0.31075,                0.17806,                0.80472,                0.94931,                0.89279,                0.96552,                 0.6793,                0.89214,                0.44463,                 1.0328,              0.0034165,              0.0034165,              0.0034165
                    136,                0.30833,                0.17655,                0.80377,                 0.9495,                0.89692,                0.96595,                0.67926,                0.89206,                0.44469,                 1.0332,               0.003367,               0.003367,               0.003367
                    137,                0.30788,                0.17638,                0.80345,                0.94817,                0.90107,                0.96577,                 0.6793,                0.89185,                 0.4444,                 1.0331,              0.0033175,              0.0033175,              0.0033175
                    138,                0.30698,                0.17625,                0.80433,                0.95198,                0.90097,                0.96628,                0.67957,                0.89176,                0.44381,                 1.0331,               0.003268,               0.003268,               0.003268
                    139,                0.30735,                0.17598,                0.80304,                 0.9519,                0.89722,                0.96635,                0.67898,                0.89173,                0.44384,                 1.0331,              0.0032185,              0.0032185,              0.0032185
                    140,                0.30455,                 0.1748,                0.80274,                0.94627,                  0.902,                0.96584,                0.67891,                0.89173,                0.44422,                 1.0332,               0.003169,               0.003169,               0.003169
                    141,                  0.304,                0.17452,                0.80221,                0.94472,                0.90227,                0.96589,                0.67836,                0.89172,                0.44343,                 1.0333,              0.0031195,              0.0031195,              0.0031195
                    142,                 0.3025,                 0.1733,                0.80187,                0.94822,                 0.9017,                 0.9658,                0.67879,                0.89148,                0.44334,                 1.0329,                0.00307,                0.00307,                0.00307
                    143,                0.30257,                0.17394,                0.80221,                0.94837,                0.90163,                0.96523,                0.67808,                0.89152,                0.44403,                 1.0328,              0.0030205,              0.0030205,              0.0030205
                    144,                0.30183,                0.17301,                0.80243,                0.94864,                0.90261,                0.96526,                0.67816,                0.89135,                0.44408,                 1.0329,               0.002971,               0.002971,               0.002971
                    145,                0.30011,                 0.1717,                0.80201,                0.94843,                0.90016,                0.96553,                0.67994,                0.89129,                0.44415,                 1.0334,              0.0029215,              0.0029215,              0.0029215
                    146,                0.29809,                0.17078,                0.80211,                0.94857,                0.89919,                0.96514,                0.67947,                0.89165,                0.44465,                 1.0338,               0.002872,               0.002872,               0.002872
                    147,                0.29733,                0.17095,                 0.8009,                0.94991,                0.89934,                0.96496,                0.68003,                0.89175,                0.44528,                 1.0338,              0.0028225,              0.0028225,              0.0028225
                    148,                0.29807,                0.17051,                0.80147,                0.95167,                0.89971,                0.96468,                0.67956,                0.89208,                0.44585,                  1.034,               0.002773,               0.002773,               0.002773
                    149,                0.29582,                0.16875,                0.80182,                 0.9516,                0.89906,                0.96489,                0.68142,                0.89224,                0.44676,                 1.0342,              0.0027235,              0.0027235,              0.0027235
                    150,                0.29548,                0.16867,                0.80136,                0.94973,                0.89706,                0.96489,                0.67982,                0.89228,                0.44725,                 1.0346,               0.002674,               0.002674,               0.002674
                    151,                0.29373,                0.16904,                0.80114,                 0.9511,                0.89694,                0.96418,                0.68113,                0.89219,                0.44811,                 1.0347,              0.0026245,              0.0026245,              0.0026245
                    152,                0.29317,                0.16777,                 0.8006,                0.95145,                0.89783,                0.96431,                0.68016,                0.89213,                0.44742,                 1.0349,               0.002575,               0.002575,               0.002575
                    153,                0.29269,                0.16675,                0.80068,                0.95218,                0.89812,                 0.9644,                0.68066,                0.89182,                0.44768,                  1.035,              0.0025255,              0.0025255,              0.0025255
                    154,                0.29366,                0.16731,                0.80091,                0.95017,                0.90338,                0.96442,                0.68104,                0.89191,                0.44862,                 1.0355,               0.002476,               0.002476,               0.002476
                    155,                0.28891,                0.16525,                0.80031,                0.95134,                0.90122,                0.96452,                0.68185,                0.89195,                 0.4499,                 1.0356,              0.0024265,              0.0024265,              0.0024265
                    156,                 0.2882,                 0.1649,                0.79922,                 0.9535,                0.90261,                0.96476,                 0.6821,                0.89211,                0.45119,                 1.0357,               0.002377,               0.002377,               0.002377
                    157,                0.28758,                0.16395,                0.79943,                0.94986,                0.90564,                0.96516,                0.68057,                0.89153,                0.45143,                 1.0354,              0.0023275,              0.0023275,              0.0023275
                    158,                0.28701,                0.16357,                0.79878,                0.94811,                0.90592,                0.96497,                0.68138,                0.89126,                 0.4514,                 1.0355,               0.002278,               0.002278,               0.002278
